adduser	3.118ubuntu5
apt	2.4.14
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
binutils	2.38-4ubuntu2.12
binutils-common:amd64	2.38-4ubuntu2.12
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12
bsdutils	1:2.37.2-4ubuntu3.5
build-essential	12.9ubuntu3
bzip2	1.0.8-5ubuntu0.1
ca-certificates	20260601~22.04.1
coreutils	8.32-4.1ubuntu1.3
cpp	4:11.2.0-1ubuntu1
cpp-11	11.4.0-1ubuntu1~22.04.3
curl	7.81.0-1ubuntu1.27
dash	0.5.11+git20210903+057cd650a4ed-3build1
debconf	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
diffutils	1:3.8-0ubuntu2
distro-info-data	0.72-0ubuntu0.22.04.1
dpkg	1.21.1ubuntu2.6
dpkg-dev	1.21.1ubuntu2.6
e2fsprogs	1.46.5-2ubuntu1.2
file	1:5.41-3ubuntu0.1
findutils	4.8.0-1ubuntu3
g++	4:11.2.0-1ubuntu1
g++-11	11.4.0-1ubuntu1~22.04.3
gcc	4:11.2.0-1ubuntu1
gcc-11	11.4.0-1ubuntu1~22.04.3
gcc-11-base:amd64	11.4.0-1ubuntu1~22.04.3
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04.3
git	1:2.34.1-1ubuntu1.17
git-man	1:2.34.1-1ubuntu1.17
gpgv	2.2.27-3ubuntu2.5
grep	3.7-1build1
gzip	1.10-4ubuntu4.2
hostname	3.23ubuntu2
init-system-helpers	1.62
libacl1:amd64	2.3.1-1
libapparmor1:amd64	3.0.4-2ubuntu2.5
libapt-pkg6.0:amd64	2.4.14
libasan6:amd64	11.4.0-1ubuntu1~22.04.3
libasound2:amd64	1.2.6.1-1ubuntu1.2
libasound2-data	1.2.6.1-1ubuntu1.2
libasound2-dev:amd64	1.2.6.1-1ubuntu1.2
libasyncns0:amd64	0.8-6build2
libatomic1:amd64	12.3.0-1ubuntu1~22.04.3
libattr1:amd64	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1
libaudit1:amd64	1:3.0.7-1build1
libbinutils:amd64	2.38-4ubuntu2.12
libblkid-dev:amd64	2.37.2-4ubuntu3.6
libblkid1:amd64	2.37.2-4ubuntu3.6
libbrotli1:amd64	1.0.9-2build6
libbsd0:amd64	0.11.5-1
libbz2-1.0:amd64	1.0.8-5ubuntu0.1
libc-bin	2.35-0ubuntu3.14
libc-dev-bin	2.35-0ubuntu3.14
libc6:amd64	2.35-0ubuntu3.14
libc6-dev:amd64	2.35-0ubuntu3.14
libcap-ng0:amd64	0.7.9-2.2build3
libcap2:amd64	1:2.44-1ubuntu0.22.04.3
libcc1-0:amd64	12.3.0-1ubuntu1~22.04.3
libcom-err2:amd64	1.46.5-2ubuntu1.2
libcrypt-dev:amd64	1:4.4.27-1
libcrypt1:amd64	1:4.4.27-1
libctf-nobfd0:amd64	2.38-4ubuntu2.12
libctf0:amd64	2.38-4ubuntu2.12
libcurl3-gnutls:amd64	7.81.0-1ubuntu1.27
libcurl4:amd64	7.81.0-1ubuntu1.27
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3:amd64	1.12.20-2ubuntu4.1
libdebconfclient0:amd64	0.261ubuntu1
libdpkg-perl	1.21.1ubuntu2.6
libdrm-amdgpu1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-common	2.4.113-2~ubuntu0.22.04.1
libdrm-dev:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-intel1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-nouveau2:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-radeon1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm2:amd64	2.4.113-2~ubuntu0.22.04.1
libedit2:amd64	3.1-20210910-1build1
libegl-dev:amd64	1.4.0-1
libegl-mesa0:amd64	23.2.1-1ubuntu3.1~22.04.4
libegl1:amd64	1.4.0-1
libegl1-mesa-dev:amd64	23.2.1-1ubuntu3.1~22.04.4
libelf1:amd64	0.186-1ubuntu0.1
liberror-perl	0.17029-1
libexpat1:amd64	2.4.7-1ubuntu0.7
libext2fs2:amd64	1.46.5-2ubuntu1.2
libffi-dev:amd64	3.4.2-4
libffi8:amd64	3.4.2-4
libflac8:amd64	1.3.3-2ubuntu0.2
libgbm-dev:amd64	23.2.1-1ubuntu3.1~22.04.4
libgbm1:amd64	23.2.1-1ubuntu3.1~22.04.4
libgcc-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04.3
libgcrypt20:amd64	1.9.4-3ubuntu3.2
libgdbm-compat4:amd64	1.23-1
libgdbm6:amd64	1.23-1
libgl-dev:amd64	1.4.0-1
libgl1:amd64	1.4.0-1
libgl1-mesa-dri:amd64	23.2.1-1ubuntu3.1~22.04.4
libglapi-mesa:amd64	23.2.1-1ubuntu3.1~22.04.4
libgles-dev:amd64	1.4.0-1
libgles1:amd64	1.4.0-1
libgles2:amd64	1.4.0-1
libglib2.0-0:amd64	2.72.4-0ubuntu2.9
libglib2.0-bin	2.72.4-0ubuntu2.9
libglib2.0-data	2.72.4-0ubuntu2.9
libglib2.0-dev:amd64	2.72.4-0ubuntu2.9
libglib2.0-dev-bin	2.72.4-0ubuntu2.9
libglvnd-core-dev:amd64	1.4.0-1
libglvnd-dev:amd64	1.4.0-1
libglvnd0:amd64	1.4.0-1
libglx-dev:amd64	1.4.0-1
libglx-mesa0:amd64	23.2.1-1ubuntu3.1~22.04.4
libglx0:amd64	1.4.0-1
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1
libgnutls30:amd64	3.7.3-4ubuntu1.9
libgomp1:amd64	12.3.0-1ubuntu1~22.04.3
libgpg-error0:amd64	1.43-3
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.8
libhogweed6:amd64	3.7.3-1build2
libicu70:amd64	70.1-2
libidn2-0:amd64	2.3.2-2build1
libisl23:amd64	0.24-2build1
libitm1:amd64	12.3.0-1ubuntu1~22.04.3
libk5crypto3:amd64	1.19.2-2ubuntu0.8
libkeyutils1:amd64	1.6.1-2ubuntu3
libkrb5-3:amd64	1.19.2-2ubuntu0.8
libkrb5support0:amd64	1.19.2-2ubuntu0.8
libldap-2.5-0:amd64	2.5.20+dfsg-0ubuntu0.22.04.1
libllvm15:amd64	1:15.0.7-0ubuntu0.22.04.3
liblsan0:amd64	12.3.0-1ubuntu1~22.04.3
liblz4-1:amd64	1.9.3-2build2
liblzma5:amd64	5.2.5-2ubuntu1.1
libmagic-mgc	1:5.41-3ubuntu0.1
libmagic1:amd64	1:5.41-3ubuntu0.1
libmd0:amd64	1.0.4-1build1
libmount-dev:amd64	2.37.2-4ubuntu3.6
libmount1:amd64	2.37.2-4ubuntu3.6
libmpc3:amd64	1.2.1-2build1
libmpdec3:amd64	2.5.1-2build2
libmpfr6:amd64	4.1.0-3build3
libncurses6:amd64	6.3-2ubuntu0.2
